DataID,Publication date,Titile,Author#1,Author#2,Author#3,Author#4,Author#5,Author#6,Author#7,Author#8,Author#9,Author#10,Author#11
Digital Data 2019-0024,October 25  2019,Reconstructed Proglacial Lakes in Alberta: Ice Margins (GIS data  line features),Utting  D.J.,,,,,,,,,,
Digital Data 2019-0023,October 25  2019,Reconstructed Proglacial Lakes in Alberta: Drainage Channels (GIS data  line features),Utting  D.J.,,,,,,,,,,
Digital Data 2019-0022,October 25  2019,Reconstructed Proglacial Lakes in Alberta (GIS data  polygon features),Utting  D.J.,,,,,,,,,,
Digital Data 2019-0020,October 09  2019,Land-use/Land-cover Classification of the Athabasca Oil Sands Surface Mineable Area of Alberta  Derived from 2017 Sentinel-2 Multispectral Data (image data  TIFF format),Chowdhury  S., Chao  D.K., Shipman  T.C.,,,,,,,,
Digital Data 2019-0019,September 11  2019,Land-use/Land-cover Classification of the Cold Lake Oil Sands Area of Alberta  Derived from 2017 Sentinel-2 Multispectral Data (image data  TIFF format),Chowdhury  S., Chao  D.K., Shipman  T.C.,,,,,,,,
Digital Data 2019-0016,July 29  2019,Groundwater Yield Continuum for the Upper Peace Region (GIS data  polygon features),Klassen  J., Liggett  J.E.,,,,,,,,,
Digital Data 2019-0005,March 18  2019,Simplified 3D Provincial Geological Framework Model of Alberta (Version 1): 3D Print Files (digital data  STL format),Branscombe  P., Warren  J.E., Mckay  K.,,,,,,,,
Digital Data 2019-0004,March 18  2019,Dinosaur Provincial Park Minecraft Model: 3D Print Files (digital data  STL format),MacCormack  T.J., Galloway  E.J.,,,,,,,,,
Digital Data 2019-0003,March 18  2019,Southeastern Alberta 3D Geological Model: 3D Print Files (digital data  STL format),Babakhani  M., Mckay  K., Warren  J.E.,,,,,,,,
Digital Data 2019-0002,March 01  2019, Water Geochemistry of Selected Formation Brines in the Alberta Basin  Canada (tabular data  tab-delimited format),Huff  G.F., Lopez  G.P., Weiss  J.A.,,,,,,,,
Digital Data 2019-0001,July 24  2019, Induced Earthquake Geological Susceptibility Model for the Duvernay Formation - Version 2 (tabular data  tab delimited),Schultz  R.J., Pawley  S.M.,,,,,,,,,
Digital Data 2018-0014,November 30  2018,Land Disturbances of the Upper Peace Region of Alberta  Derived from 1985 to 2015 Landsat Multispectral Data (image data  TIFF format),Chowdhury  S., Chao  D.K., Shipman  T.C.,,,,,,,,
Digital Data 2018-0013,October 26  2018, In-Situ Stress Measurements for the Duvernay Formation  Alberta (tabular data  tab-delimited format),Shen  L., Schmitt  D.R., Haug  K.,,,,,,,,
Digital Data 2018-0012,October 18  2018,Peace River Minecraft Model: 3D Print Files (digital data  STL format),MacCormack  T.J., Galloway  E.J.,,,,,,,,,
Digital Data 2018-0011,October 23  2018,Groundwater Yield Continuum for Southern Alberta (GIS data  polygon features),Klassen  J., Liggett  J.E.,,,,,,,,,
Digital Data 2018-0010,August 22  2018,Generalized Outlines of Northern Alberta Regions Containing Permafrost (GIS data  polygon features),Pawley  S.M.,,,,,,,,,,
Digital Data 2018-0009,September 11  2018,Time-Series Land-use/Land-cover Classifications of the Cold Lake Oil Sands Area of Alberta  Derived from 1985 to 2016 Landsat Multispectral Data (image data  TIFF format),Chowdhury  S., Chao  D.K.,,,,,,,,,
Digital Data 2018-0008,June 27  2018,Permafrost Classification Model for Northern Alberta (gridded data  GeoTIFF format),Pawley  S.M., Utting  D.J.,,,,,,,,,
Digital Data 2018-0007,June 27  2018,Permafrost Probability Model for Northern Alberta (gridded data  GeoTIFF format),Pawley  S.M., Utting  D.J.,,,,,,,,,
Digital Data 2018-0006,June 27  2018,Permafrost Site Location Training Data for Northern Alberta (tabular data  tab-delimited format),Pawley  S.M., Utting  D.J.,,,,,,,,,
Digital Data 2018-0005,March 19  2019,Distribution of Hydraulic Head in the Wapiti / Belly River Hydrostratigraphic Unit (tabular data  tab-delimited format),Singh  A.,,,,,,,,,,
Digital Data 2018-0004,May 09  2018,Time-Series Land-use/Land-cover Classifications of the Upper Peace Region of Alberta  Derived from 1985 to 2015 Landsat Multispectral Data (image data  TIFF format),Chowdhury  S., Chao  D.K.,,,,,,,,,
Digital Data 2018-0003,May 09  2018,Land-use/Land-cover Classifications of the Upper Peace Region of Alberta  Derived from 2017 Sentinel-2 Multispectral Data (image data  TIFF format),Chowdhury  S., Chao  D.K.,,,,,,,,,
Digital Data 2018-0002,March 19  2019,Distribution of Hydraulic Head in the Wapiti / Belly River Hydrostratigraphic Unit (gridded data  ASCII format),Singh  A.,,,,,,,,,,
Digital Data 2018-0001,October 25  2019,Thalwegs of Bedrock Valleys  Alberta (GIS data  line features),Andriashek  L.A.,,,,,,,,,,
Digital Data 2017-0032,December 15  2017,Surficial Geology of West-Central Alberta (GIS data  line features),Atkinson  N., Utting  D.J., Pawley  S.,,,,,,,,
Digital Data 2017-0031,December 15  2017,Surficial Geology of West-Central Alberta (GIS data  polygon features),Atkinson  N., Utting  D.J., Pawley  S.,,,,,,,,
Digital Data 2017-0027,February 08  2018,Subsurface Stratigraphic Picks for the Paleozoic Succession in Northeastern Alberta  Townships 59-104  Ranges 1-19  West of the Fourth Meridian (tabular data  tab-delimited format),Hauck  T.E.,,,,,,,,,,
Digital Data 2017-0026,March 19  2019,Distribution of Total Dissolved Solids in the Wapiti / Belly River Hydrostratigraphic Unit (tabular data  tab-delimited format),Nakevska  N.,,,,,,,,,,
Digital Data 2017-0025,March 19  2019,Distribution of Total Dissolved Solids in the Wapiti / Belly River Hydrostratigraphic Unit (gridded data  ASCII format),Nakevska  N.,,,,,,,,,,
Digital Data 2017-0024,February 14  2018,Groundwater Yield Matrix for Central Alberta (GIS data  polygon features),Klassen  J., Smerdon  B.D.,,,,,,,,,
Digital Data 2017-0023,October 09  2019,Time-Series Land-use/Land-cover Classifications of the Athabasca Oil Sands Surface Mineable Area Derived from Landsat Multispectral Data; 1985 to 2016 (Image data  TIFF format),Chowdhury  S., Chao  D.K.,,,,,,,,,
Digital Data 2017-0022,September 11  2017,Time-Series Land Change Detection of the Athabasca Oil Sands Surface Mineable Area Derived from Landsat Multispectral Data; 1985 to 2015 (Image data  TIFF format),Chowdhury  S., Chao  D.K.,,,,,,,,,
Digital Data 2017-0021,July 23  2018,Surficial Geology of the Buffalo River Area (NTS 84F/NE) (GIS data  permafrost polygon features),Utting  D.J., Pawley  S.M.,,,,,,,,,
Digital Data 2017-0020,July 23  2018,Surficial Geology of the Buffalo River Area (NTS 84F/NE) (GIS data  line features),Utting  D.J., Pawley  S.M.,,,,,,,,,
Digital Data 2017-0019,July 23  2018,Surficial Geology of the Buffalo River Area (NTS 84F/NE) (GIS data  polygon features),Utting  D.J., Pawley  S.M.,,,,,,,,,
Digital Data 2017-0018,April 24  2017,West-Central Alberta Regional Stratigraphic Model - Paleovalley Thalwegs (GIS data  line features),Hartman  G.M.D.,,,,,,,,,,
Digital Data 2017-0017,September 27  2017,U-Pb Detrital Zircon Geochronology Raw Data of the Jurassic through Lower Cretaceous Strata of the Rocky Mountains  Southwestern Alberta (tabular data  tab delimited format),Pana  D.I.,,,,,,,,,,
Digital Data 2017-0016,April 24  2017,West-Central Alberta Regional Stratigraphic Model - Sediment Thickness (gridded data  ASCII format),Atkinson  L.A., Hartman  G.M.D.,,,,,,,,,
Digital Data 2017-0015,April 24  2017,West-Central Alberta Regional Stratigraphic Model - Bedrock Topography (gridded data  ASCII format),Atkinson  L.A., Hartman  G.M.D.,,,,,,,,,
Digital Data 2017-0014,April 24  2017,West-Central Alberta Regional Stratigraphic Model - Top of Stratigraphic Unit 5 Within the Paleogene-Quaternary Succession (gridded data  ASCII format),Atkinson  L.A., Hartman  G.M.D.,,,,,,,,,
Digital Data 2017-0013,April 24  2017,West-Central Alberta Regional Stratigraphic Model - Top of Stratigraphic Unit 4b Within the Paleogene-Quaternary Succession (gridded data  ASCII format),Atkinson  L.A., Hartman  G.M.D.,,,,,,,,,
Digital Data 2017-0012,April 24  2017,West-Central Alberta Regional Stratigraphic Model - Top of Stratigraphic Unit 4a Within the Paleogene-Quaternary Succession (gridded data  ASCII format),Atkinson  L.A., Hartman  G.M.D.,,,,,,,,,
Digital Data 2017-0011,April 24  2017,West-Central Alberta Regional Stratigraphic Model - Top of Stratigraphic Unit 3 Within the Paleogene-Quaternary Succession (gridded data  ASCII format),Atkinson  L.A., Hartman  G.M.D.,,,,,,,,,
Digital Data 2017-0010,April 24  2017,West-Central Alberta Regional Stratigraphic Model - Top of Stratigraphic Unit 1 Within the Paleogene-Quaternary Succession (gridded data  ASCII format),Atkinson  L.A., Hartman  G.M.D.,,,,,,,,,
